orden_base;orden_pagina;orden_en_pagina;tipo_registro;id_registro;id_padre;seccion;pagina;Marca;ruta_relativa;area_principal;subarea_1;subarea_2;nombre_recurso;grupo_modal;tipo_activo;formatos_disponibles;cantidad_formatos;descripcion_clara;tiene_descargas;cantidad_items_descargables_pagina;cantidad_opciones_descarga_pagina;notas;redundancia_detectada;detalle_redundancia;palabras_clave;texto_indexacion
11;2;9;descargable;D-002-009;P-002;Ecosistema;Personal;Personal;brands/personal.html;Logos;;Claim;Claim;vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Personal | Logos > Claim | Recurso: Claim | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos > Claim: Descarga del activo de identidad Claim.;Sí;;;;No;;Ecosistema | Personal | Logos | Claim | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/personal.html | descargable | descarga;Sección: Ecosistema | Página: Personal | Ruta: brands/personal.html | Área principal: Logos | Subárea 2: Claim | Nombre del recurso: Claim | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos > Claim: Descarga del activo de identidad Claim en formato .ai.
12;2;10;descargable;D-002-010;P-002;Ecosistema;Personal;Personal;brands/personal.html;Logos;;Claim;Claim;vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Personal | Logos > Claim | Recurso: Claim | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos > Claim: Descarga del activo de identidad Claim.;Sí;;;;No;;Ecosistema | Personal | Logos | Claim | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/personal.html | descargable | descarga;Sección: Ecosistema | Página: Personal | Ruta: brands/personal.html | Área principal: Logos | Subárea 2: Claim | Nombre del recurso: Claim | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos > Claim: Descarga del activo de identidad Claim en formato .ai.
13;2;11;descargable;D-002-011;P-002;Ecosistema;Personal;Personal;brands/personal.html;Logos;;Claim;Claim;vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Personal | Logos > Claim | Recurso: Claim | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos > Claim: Descarga del activo de identidad Claim.;Sí;;;;No;;Ecosistema | Personal | Logos | Claim | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/personal.html | descargable | descarga;Sección: Ecosistema | Página: Personal | Ruta: brands/personal.html | Área principal: Logos | Subárea 2: Claim | Nombre del recurso: Claim | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos > Claim: Descarga del activo de identidad Claim en formato .ai.
14;2;12;descargable;D-002-012;P-002;Ecosistema;Personal;Personal;brands/personal.html;Logos;;Claim;Claim 2;vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Personal | Logos > Claim | Recurso: Claim 2 | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos > Claim: Descarga del activo de identidad Claim 2.;Sí;;;;No;;Ecosistema | Personal | Logos | Claim | Claim 2 | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/personal.html | descargable | descarga;Sección: Ecosistema | Página: Personal | Ruta: brands/personal.html | Área principal: Logos | Subárea 2: Claim | Nombre del recurso: Claim 2 | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos > Claim: Descarga del activo de identidad Claim 2 en formato .ai.
15;2;13;descargable;D-002-013;P-002;Ecosistema;Personal;Personal;brands/personal.html;Manual de Marca;;;Personal (color, fondo marca);pdf;Documento PDF;pdf;1;Personal | Manual de Marca | Recurso: Personal (color, fondo marca) | Modal / grupo: pdf | Tipo de activo: Documento PDF | Formatos disponibles: pdf | Detalle: Manual de Marca: Descarga de Personal (color, fondo marca).;Sí;;;;No;;Ecosistema | Personal | Manual de Marca | Personal (color, fondo marca) | pdf | Documento PDF | brands/personal.html | descargable | descarga;Sección: Ecosistema | Página: Personal | Ruta: brands/personal.html | Área principal: Manual de Marca | Nombre del recurso: Personal (color, fondo marca) | Grupo modal: pdf | Tipo de activo: Documento PDF | Formatos disponibles: pdf | Manual de Marca: Descarga de Personal (color, fondo marca) en formato .pdf.
16;3;0;pagina;P-003;;Ecosistema;Móvil;Móvil;brands/movil.html;;;;Móvil;;Página;;0;"Hub de marca Personal Móvil con logos descargables, paleta cromática y enlaces de redes/sitios. Bloques principales: Logos; Paleta cromática; Redes.";Sí;16;80;;No;;"Ecosistema | Móvil | brands/movil.html | Logos; Paleta cromática; Redes | página | descargas";"Sección: Ecosistema | Página: Móvil | Ruta: brands/movil.html | Descripción: Hub de marca Personal Móvil con logos descargables, paleta cromática y enlaces de redes/sitios. | Bloques: Logos; Paleta cromática; Redes | Tiene descargas: Sí | Cantidad de ítems descargables: 16 | Cantidad de opciones de descarga: 80"
17;3;1;descargable;D-003-001;P-003;Ecosistema;Móvil;Móvil;brands/movil.html;Logos;;;Isotipo (blanco, fondo marca);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Móvil | Logos | Recurso: Isotipo (blanco, fondo marca) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos: Descarga del activo de identidad Isotipo (blanco, fondo marca).;Sí;;;;No;;Ecosistema | Móvil | Logos | Isotipo (blanco, fondo marca) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/movil.html | descargable | descarga;Sección: Ecosistema | Página: Móvil | Ruta: brands/movil.html | Área principal: Logos | Nombre del recurso: Isotipo (blanco, fondo marca) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos: Descarga del activo de identidad Isotipo (blanco, fondo marca) en formato .ai.
18;3;2;descargable;D-003-002;P-003;Ecosistema;Móvil;Móvil;brands/movil.html;Logos;;;Isotipo (blanco, fondo negro);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Móvil | Logos | Recurso: Isotipo (blanco, fondo negro) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos: Descarga del activo de identidad Isotipo (blanco, fondo negro).;Sí;;;;No;;Ecosistema | Móvil | Logos | Isotipo (blanco, fondo negro) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/movil.html | descargable | descarga;Sección: Ecosistema | Página: Móvil | Ruta: brands/movil.html | Área principal: Logos | Nombre del recurso: Isotipo (blanco, fondo negro) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos: Descarga del activo de identidad Isotipo (blanco, fondo negro) en formato .ai.
19;3;3;descargable;D-003-003;P-003;Ecosistema;Móvil;Móvil;brands/movil.html;Logos;;;Isotipo (color, fondo blanco);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Móvil | Logos | Recurso: Isotipo (color, fondo blanco) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos: Descarga del activo de identidad Isotipo (color, fondo blanco).;Sí;;;;No;;Ecosistema | Móvil | Logos | Isotipo (color, fondo blanco) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/movil.html | descargable | descarga;Sección: Ecosistema | Página: Móvil | Ruta: brands/movil.html | Área principal: Logos | Nombre del recurso: Isotipo (color, fondo blanco) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos: Descarga del activo de identidad Isotipo (color, fondo blanco) en formato .ai.
20;3;4;descargable;D-003-004;P-003;Ecosistema;Móvil;Móvil;brands/movil.html;Logos;;;Isotipo (negro, fondo blanco);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Móvil | Logos | Recurso: Isotipo (negro, fondo blanco) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos: Descarga del activo de identidad Isotipo (negro, fondo blanco).;Sí;;;;No;;Ecosistema | Móvil | Logos | Isotipo (negro, fondo blanco) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/movil.html | descargable | descarga;Sección: Ecosistema | Página: Móvil | Ruta: brands/movil.html | Área principal: Logos | Nombre del recurso: Isotipo (negro, fondo blanco) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos: Descarga del activo de identidad Isotipo (negro, fondo blanco) en formato .ai.
21;3;5;descargable;D-003-005;P-003;Ecosistema;Móvil;Móvil;brands/movil.html;Logos;;;Logotipo (blanco, fondo marca);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Móvil | Logos | Recurso: Logotipo (blanco, fondo marca) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos: Descarga del activo de identidad Logotipo (blanco, fondo marca).;Sí;;;;No;;Ecosistema | Móvil | Logos | Logotipo (blanco, fondo marca) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/movil.html | descargable | descarga;Sección: Ecosistema | Página: Móvil | Ruta: brands/movil.html | Área principal: Logos | Nombre del recurso: Logotipo (blanco, fondo marca) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos: Descarga del activo de identidad Logotipo (blanco, fondo marca) en formato .ai.
22;3;6;descargable;D-003-006;P-003;Ecosistema;Móvil;Móvil;brands/movil.html;Logos;;;Logotipo (blanco, fondo negro);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Móvil | Logos | Recurso: Logotipo (blanco, fondo negro) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos: Descarga del activo de identidad Logotipo (blanco, fondo negro).;Sí;;;;No;;Ecosistema | Móvil | Logos | Logotipo (blanco, fondo negro) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/movil.html | descargable | descarga;Sección: Ecosistema | Página: Móvil | Ruta: brands/movil.html | Área principal: Logos | Nombre del recurso: Logotipo (blanco, fondo negro) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos: Descarga del activo de identidad Logotipo (blanco, fondo negro) en formato .ai.
23;3;7;descargable;D-003-007;P-003;Ecosistema;Móvil;Móvil;brands/movil.html;Logos;;;Logotipo (color, fondo blanco);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Móvil | Logos | Recurso: Logotipo (color, fondo blanco) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos: Descarga del activo de identidad Logotipo (color, fondo blanco).;Sí;;;;No;;Ecosistema | Móvil | Logos | Logotipo (color, fondo blanco) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/movil.html | descargable | descarga;Sección: Ecosistema | Página: Móvil | Ruta: brands/movil.html | Área principal: Logos | Nombre del recurso: Logotipo (color, fondo blanco) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos: Descarga del activo de identidad Logotipo (color, fondo blanco) en formato .ai.
24;3;8;descargable;D-003-008;P-003;Ecosistema;Móvil;Móvil;brands/movil.html;Logos;;;Logotipo (negro, fondo blanco);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Móvil | Logos | Recurso: Logotipo (negro, fondo blanco) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos: Descarga del activo de identidad Logotipo (negro, fondo blanco).;Sí;;;;No;;Ecosistema | Móvil | Logos | Logotipo (negro, fondo blanco) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/movil.html | descargable | descarga;Sección: Ecosistema | Página: Móvil | Ruta: brands/movil.html | Área principal: Logos | Nombre del recurso: Logotipo (negro, fondo blanco) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos: Descarga del activo de identidad Logotipo (negro, fondo blanco) en formato .ai.
25;3;9;descargable;D-003-009;P-003;Ecosistema;Móvil;Móvil;brands/movil.html;Logos;;Variaciones;Logotipo (blanco, fondo marca);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Móvil | Logos > Variaciones | Recurso: Logotipo (blanco, fondo marca) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos > Variaciones: Descarga del activo de identidad Logotipo (blanco, fondo marca).;Sí;;;;No;;Ecosistema | Móvil | Logos | Variaciones | Logotipo (blanco, fondo marca) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/movil.html | descargable | descarga;Sección: Ecosistema | Página: Móvil | Ruta: brands/movil.html | Área principal: Logos | Subárea 2: Variaciones | Nombre del recurso: Logotipo (blanco, fondo marca) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos > Variaciones: Descarga del activo de identidad Logotipo (blanco, fondo marca) en formato .ai.
26;3;10;descargable;D-003-010;P-003;Ecosistema;Móvil;Móvil;brands/movil.html;Logos;;Variaciones;Logotipo (blanco, fondo negro);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Móvil | Logos > Variaciones | Recurso: Logotipo (blanco, fondo negro) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos > Variaciones: Descarga del activo de identidad Logotipo (blanco, fondo negro).;Sí;;;;No;;Ecosistema | Móvil | Logos | Variaciones | Logotipo (blanco, fondo negro) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/movil.html | descargable | descarga;Sección: Ecosistema | Página: Móvil | Ruta: brands/movil.html | Área principal: Logos | Subárea 2: Variaciones | Nombre del recurso: Logotipo (blanco, fondo negro) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos > Variaciones: Descarga del activo de identidad Logotipo (blanco, fondo negro) en formato .ai.
27;3;11;descargable;D-003-011;P-003;Ecosistema;Móvil;Móvil;brands/movil.html;Logos;;Variaciones;Logotipo (color, fondo blanco);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Móvil | Logos > Variaciones | Recurso: Logotipo (color, fondo blanco) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos > Variaciones: Descarga del activo de identidad Logotipo (color, fondo blanco).;Sí;;;;No;;Ecosistema | Móvil | Logos | Variaciones | Logotipo (color, fondo blanco) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/movil.html | descargable | descarga;Sección: Ecosistema | Página: Móvil | Ruta: brands/movil.html | Área principal: Logos | Subárea 2: Variaciones | Nombre del recurso: Logotipo (color, fondo blanco) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos > Variaciones: Descarga del activo de identidad Logotipo (color, fondo blanco) en formato .ai.
28;3;12;descargable;D-003-012;P-003;Ecosistema;Móvil;Móvil;brands/movil.html;Logos;;Variaciones;Logotipo (negro, fondo blanco);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Móvil | Logos > Variaciones | Recurso: Logotipo (negro, fondo blanco) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos > Variaciones: Descarga del activo de identidad Logotipo (negro, fondo blanco).;Sí;;;;No;;Ecosistema | Móvil | Logos | Variaciones | Logotipo (negro, fondo blanco) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/movil.html | descargable | descarga;Sección: Ecosistema | Página: Móvil | Ruta: brands/movil.html | Área principal: Logos | Subárea 2: Variaciones | Nombre del recurso: Logotipo (negro, fondo blanco) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos > Variaciones: Descarga del activo de identidad Logotipo (negro, fondo blanco) en formato .ai.
29;3;13;descargable;D-003-013;P-003;Ecosistema;Móvil;Móvil;brands/movil.html;Logos;;Variaciones;Logotipo pill (blanco, fondo marca);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Móvil | Logos > Variaciones | Recurso: Logotipo pill (blanco, fondo marca) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos > Variaciones: Descarga del activo de identidad Logotipo pill (blanco, fondo marca).;Sí;;;;No;;Ecosistema | Móvil | Logos | Variaciones | Logotipo pill (blanco, fondo marca) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/movil.html | descargable | descarga;Sección: Ecosistema | Página: Móvil | Ruta: brands/movil.html | Área principal: Logos | Subárea 2: Variaciones | Nombre del recurso: Logotipo pill (blanco, fondo marca) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos > Variaciones: Descarga del activo de identidad Logotipo pill (blanco, fondo marca) en formato .ai.
